Date,Closing,Open,High,Low
24-Feb-15,145.35,144.8,145.5,143.55
25-Feb-15,139.75,147.05,147.05,140.05
26-Feb-15,136.55,140,140.3,139.8
27-Feb-15,136.75,139.2,139.2,136.45
2-Mar-15,135.1,138.55,138.55,134.85
3-Mar-15,126.25,134.15,134.15,134.15
4-Mar-15,134.05,129.3,130.7,129.05
5-Mar-15,131.55,133.5,133.95,133.2
6-Mar-15,136.5,131.65,131.95,131.65
9-Mar-15,133.65,136.5,136.55,131.5
10-Mar-15,131.7,133.1,133.1,133.1
11-Mar-15,131.75,134.65,137.1,131.15
12-Mar-15,128.85,130.25,130.25,130.25
13-Mar-15,129.8,132.55,134.05,128.75
16-Mar-15,134.9,133.35,134.75,132
17-Mar-15,133.95,134.05,134.05,132.6
18-Mar-15,136.25,134.45,137,131.45
19-Mar-15,140,136.35,136.35,136.35
20-Mar-15,143.35,143,143.9,140.5
23-Mar-15,141.85,142,144.3,139.4
24-Mar-15,137.3,142,145.4,136.15
25-Mar-15,139.95,137.3,142.35,136
26-Mar-15,140.25,140,142.8,138.3
27-Mar-15,138.2,139.75,140.8,136.55
30-Mar-15,132.35,138.8,138.9,131.8
31-Mar-15,132.9,133,135.95,131.9
1-Apr-15,134.85,133.4,139.8,133.05
2-Apr-15,140.9,134.15,141.45,134.05
6-Apr-15,146.2,140.9,147.35,140.2
7-Apr-15,141.95,145.5,145.75,141.2
8-Apr-15,135.7,141.75,144.4,135.1
9-Apr-15,137.45,135.9,137.9,133.6
10-Apr-15,135.1,137.4,138.45,133.8
13-Apr-15,133.75,135.15,138.1,132.95
14-Apr-15,134.6,133.85,136.1,131.95
15-Apr-15,135.8,134.6,138,133.85
16-Apr-15,139.6,136.9,140.8,136.1
17-Apr-15,138.7,139.4,141.25,137.8
20-Apr-15,138.7,138.4,140,134.25
